abbaye
abdiquer
ablation
abonnement
academie;académie
accident-voiture;accident de voiture
accompagner
accord
accoustique;acoustique
acide
action
adaptation
adherer;adhérer
adjuger
administrer
adversaire
affaire
agence
agression
agriculture
albi;Albi
album de photos
algerie;Algérie
allemagne;Allemagne
ambiance
ambition
analyse
anatomie
angers;Angers
anonyme
antiquite;antiquité
aorte
apesanteur
architecte
archives
articulation-os;articulation, os
arts
assemblee nationale;assemblée nationale
association
assurance
asthme
atome
attestation
audiogramme
audiovisuel
australie;Australie
automobile;automobile, voiture
autonomie
autriche;Autriche
avignon;Avignon;
avocat
bac
banlieue
banquet
banque
bapteme;baptême
base
batiment;bâtiment
belgique;Belgique
benefice;bénéfice
benevolat;bénévolat
biarritz;Biarritz
bible
bibliotheque;bibliothèque
bilan
bilinguisme
biochimie
biologie
bordeaux;Bordeaux
boudisme;bouddhisme
bourgeois
bresil;Brésil
bruxelle;Bruxelles
budget
bulgarie;Bulgarie
cable;câble
calcul
calendrier
canada;Canada
cancer
candidat
capacite;capacité
capitale
caractere;caractère
careme;carême
carte d identite;carte d'identité
catholique
celibataire;célibataire
censure
chambery;Chambéry
charpente
chequier;chéquier
chimie
chine;Chine
cinema;cinéma
citoyen
code de la route
coiffure
collaboration
comedien;comédien
comedie;comédie
comite;comité
commerce
commission
communication
communisme
competant;compétant
competition;compétition
comportement
compromis
comptabilite;comptabilité
concentration
concept
concours
concurrence
conference;conférence
confiance
conflit
congrès
connaissance
conscience
conseiller
construction navale
conte
contrat
convaincre2;convaincre
conversation (discuter)
convertion;conversion
convoquer
correction (annuler);correction (corriger)
cotisation
coupable
credit;crédit
crime
critiquer
culture1;culture
culture de la terre
curieux
danemark;Danemark
debat;débat
debilite;débilité
debit banque;débit banque
decentralisation;décentralisation
decision;décision
declaration droits de l homme;déclaration droits de l'homme
declaration;déclaration
decommander;décommander
decompte;décompte
decors;décors
decouragement;découragement
decouverte;découverte
defaut;défaut
defenseur;défenseur
deficit;déficit
degressif;dégressif
degustation;dégustation
delivrance;délivrance
deluge;déluge
demenagement;démenagement
demissionner;démissionner
democratie;démocratie
demonstration;démonstration
depression;dépression
depute;député
derogation;dérogation
dette
devis
diabete;diabète
dialogue
dijon;Dijon
dilatation
diplomatique
diplome;diplôme
directeur
distance
divorce
doctorat en medecine;doctorat en médecine
documentation
dossier
doyen
drogue
droit
ebeniste;ébéniste
echange;échange
echelon;échelon
eclairage;éclairage
eclipse;éclipse
ecole;école
economie1;économie
ecosse;Écosse
edifice;édifice
educateur;éducateur
egypte;Égypte
electricite;électricité
electronique;électronique
electro-technique;électrotechnique
elegance;élégance
emballage
embaucher
emploi du temps
emprunt
encephalogramme;encéphalogramme
endoctriner
engagement
engrenage
enlevement;enlèvement
ennemi
enquete;enquête
enregistrer
enseigner
enthousiasme
envergure-oiseaux;envergure (oiseaux)
envie
ephemere;éphémère
epilepsie;épilepsie
equilibre;équilibre
equipe;équipe
espagne;Espagne
etat-pays;État, pays
etats-unis;États-Unis
etranger;étranger
etudiant;étudiant
europe;Europe
evolution;évolution
examen
exemple
exercice
experience;expérience
expert
exploit
exportation
expression-mots;expression, mots
expression-visage;expression du visage
fabrication
facture
faillite
falcifier;falsifier
fantasme
fascisme
faussaire
federation;fédération
felicitation;félicitation
finlande;Finlande
fleuve
foie
fonder
foret2;forêt
formation
francais;français
france;France
futur
geographie;géographie
grammaire
gravure
grece;Grèce
guyane;Guyane
gymnastique
haine
handicape;handicapé
heritage;héritage
hierarchie2;hiérarchie
histoire
hollande;Hollande
hommage
homme
hongrie;Hongrie
honneur
hopital;hôpital
horizon
horticulture
hotel;hôtel
huissier
hypocrite
ideologie;idéologie
illusion
impots;impôts
imprimer
inauguration
inde;Inde
individu
infarctus
infirmiere;infirmière
influence
information
informatique
informer
ingenieur;ingénieur
insertion
intelligence
